"Path","CRC32","Size"
".\activity","[DIR]","~"
".\activity\[uc]act18mini","[DIR]","~"
".\activity\[uc]act18mini\act18mini_stage_deco#0.png","0x5D1FF87C","20270"
".\activity\[uc]act18mini\act18mini_timely_drop#0.png","0x18B2C897","12959"
".\activity\[uc]act18mini\atlas_seeyou#0.png","0x27355AF9","1851016"
".\activity\[uc]act18mini\SpriteAtlasTexture-UI_ACT18MINI_SHOP-1024x512-fmt34.png","0x3C50C003","132612"
".\activity\[uc]act18mini\SpriteAtlasTexture-UI_ACT18MINI_STAGERES-512x512-fmt34.png","0xDD308D47","167482"
".\activity\[uc]act31sre","[DIR]","~"
".\activity\[uc]act31sre\act31side_entry_atlas#0.png","0x9293096F","609796"
".\activity\[uc]act31sre\mapdeco_atlas#0.png","0xF11C83C0","65422"
".\activity\[uc]act31sre\sprite_act31sre_entry#0.png","0xCE568D0E","14607"
".\activity\[uc]act31sre\SpriteAtlasTexture-UI_ACT31SIDE_SHOP_HUB-1024x512-fmt34.png","0x8D49D170","256661"
".\activity\[uc]act31sre\SpriteAtlasTexture-UI_STAGE_RES_ACT31SIDE_IMG-512x512-fmt34.png","0x1404E9B9","163475"
".\activity\[uc]act3collection","[DIR]","~"
".\activity\[uc]act3collection\SpriteAtlasTexture-UI_ACTIVITY_ACT3COLLECTION-2048x1024-fmt34.png","0x31ED493B","676065"
".\activity\[uc]act41side","[DIR]","~"
".\activity\[uc]act41side\act41side_stage_entry_atlas#0.png","0xBFD62A7A","439177"
".\activity\[uc]act41side\atlas#0.png","0x9B5B9D7E","189614"
".\activity\[uc]act41side\SpriteAtlasTexture-UI_ACT41SIDE_SHOP_HUB-1024x512-fmt34.png","0x52E6BCCD","300563"
".\activity\commonassets","[DIR]","~"
".\activity\commonassets\bossrush_entry#0.png","0xB0960763","437886"
".\activity\commonassets\bossrush_milestone#0.png","0x4199214A","75048"
".\activity\commonassets\bossrush_milestone#1.png","0xFAA63EE7","38384"
".\activity\commonassets\mission_atlas#0.png","0x56F089AF","171134"
".\activity\commonassets\SpriteAtlasTexture-ICON_ELITE-256x1024-fmt34.png","0x5E929DAB","131010"
".\activity\commonassets\SpriteAtlasTexture-ICON_POTENTIAL-1024x1024-fmt34.png","0xB388AFAE","184502"
".\activity\commonassets\SpriteAtlasTexture-UI_ACT_COMMON_STORY_UNLOCK-512x512-fmt34.png","0x7B30422F","27240"
".\activity\commonassets\SpriteAtlasTexture-UI_ACT_FAVOUR_COMMON-256x512-fmt34.png","0xAA0A69AE","25286"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT10D5_0-256x256-fmt34.png","0x9FFA7CC4","31484"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT10MINI_0-256x256-fmt34.png","0x4B67FBA0","24698"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT11D0_0-256x512-fmt34.png","0xC3FA7D71","75292"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT11MINI_0-256x256-fmt34.png","0x6170292F","32876"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT12D0_0-256x256-fmt34.png","0x0878479E","39673"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT12D6_0-256x256-fmt34.png","0xEA78F438","50561"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT12MINI_0-256x256-fmt34.png","0x717DA696","28305"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT12SIDE_0-512x512-fmt34.png","0x2F7879F3","160027"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT13D0_0-256x256-fmt34.png","0xEB2FEBA3","32172"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT13D5_0-256x256-fmt34.png","0x2ADCF141","33099"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT13MINI_0-256x256-fmt34.png","0xC08CF310","25958"
".\activity\commonassets\SpriteAtlasTexture-UI_ACTITEM_ICON_H2_ACT13SIDE_0-512x256-fmt34.png","0xEE3DBC03","47377"
